First Name,Last Name,Date of Birth,Salary,KPI,Experience,Level,Position
Juan,Turner,1994-03-08,91277,67,13,Mid,Marketing Specialist
Jill,Lee,1973-06-07,84834,68,15,Mid,Sales Executive
Curtis,Arnold,1975-05-11,58906,95,3,Junior,Sales Executive
Stacey,Drake,1984-12-28,79620,90,17,Mid,Software Engineer
Tamara,Kane,1980-08-17,86431,71,14,Junior,Software Engineer
William,Johnson,1996-07-29,51781,90,10,Junior,Marketing Specialist
Cathy,Hanson,1981-01-27,53587,74,8,Senior,Project Manager
Nicole,Baker,1969-05-12,79832,99,19,Senior,Project Manager
Shelley,Lamb,1990-12-25,59726,86,10,Senior,Software Engineer
Kimberly,Flores,1993-07-17,72431,66,20,Junior,Project Manager
Whitney,Barnes,1993-05-10,54406,89,14,Senior,HR Manager
Stephen,Holt,1987-11-10,57086,77,4,Junior,Data Analyst
Lori,Dean,1995-03-11,74211,81,4,Mid,Data Analyst
Robert,Levy,1975-09-28,85467,86,15,Junior,Sales Executive
Roberta,Taylor,1983-05-12,63177,86,8,Mid,Marketing Specialist
John,Schmidt,1998-01-25,51988,87,6,Senior,Marketing Specialist
Jennifer,Lopez,1981-06-30,62517,82,14,Junior,Marketing Specialist
Mary,Green,1986-09-18,70069,78,13,Senior,Software Engineer
Kristin,Espinoza,1993-11-13,79655,72,14,Junior,Data Analyst
Bryan,Cruz,1993-06-25,54324,81,4,Junior,Data Analyst
Garrett,Green,1991-10-22,94639,76,7,Senior,HR Manager
Jose,Fields,1998-12-17,63669,74,14,Junior,Marketing Specialist
Heather,Pope,1981-02-20,96963,73,10,Mid,HR Manager
John,Poole,1989-01-09,54407,79,18,Mid,Software Engineer
Natalie,Olson,1985-07-31,93918,94,4,Junior,Sales Executive
Chelsey,Wright,1964-03-26,97499,68,7,Senior,Software Engineer
Victoria,Collins,1982-12-30,65057,98,4,Senior,HR Manager
Tina,Church,1966-01-05,92485,73,18,Senior,Software Engineer
Alicia,Ramirez,1981-09-02,84282,83,3,Senior,Data Analyst
Amy,Luna,1987-11-15,55729,78,11,Senior,Data Analyst
Raymond,Moore,1997-11-12,72043,85,19,Mid,HR Manager
Kristin,Castillo,1972-10-04,74157,72,6,Junior,Sales Executive
William,Davis,1972-03-04,69030,84,4,Mid,HR Manager
Tammie,Hartman,1987-12-18,77802,74,1,Junior,Software Engineer
Christian,Hernandez,1985-08-28,64264,79,9,Mid,Data Analyst
Harold,Garza,1984-10-31,84960,97,7,Mid,Sales Executive
Jason,Young,1965-02-05,98226,91,14,Senior,Marketing Specialist
John,Austin,1994-07-07,90731,65,20,Senior,Marketing Specialist
Erin,Lawson,1998-08-24,67235,75,9,Senior,Software Engineer
Danielle,Solis,1965-09-09,62341,86,10,Senior,Project Manager
Emily,Armstrong,1966-03-30,74733,85,11,Junior,Project Manager
Brian,Brown,1988-01-06,83036,81,10,Senior,Sales Executive
Patricia,Bond,1970-05-19,88962,90,15,Junior,Data Analyst
Alison,Nelson,1973-09-14,96472,84,7,Junior,Project Manager
Tyler,Diaz,1996-10-01,89559,98,5,Junior,HR Manager
Thomas,Taylor,1989-03-05,80373,62,19,Senior,Sales Executive
Tyler,Carroll,1979-11-08,64661,72,13,Junior,Data Analyst
Nicholas,Gonzales,1969-06-16,52233,70,17,Mid,Software Engineer
Regina,Juarez,1968-07-28,51544,67,6,Senior,Sales Executive
Amy,Mcintyre,1992-11-12,68365,81,13,Senior,Sales Executive
Roy,Sharp,1999-04-26,84387,60,12,Mid,Data Analyst
Andrea,Davis,1971-01-15,79631,87,7,Mid,Software Engineer
Emily,Stone,1978-12-05,64984,97,20,Senior,Data Analyst
Michael,Brown,1965-12-04,66802,91,1,Mid,Data Analyst
Denise,Mathis,1973-09-02,98042,64,17,Junior,Data Analyst
Frances,Mullen,1969-04-24,89304,61,18,Junior,Data Analyst
Brittany,Peterson,1980-02-08,95312,69,11,Junior,Software Engineer
Kristina,Middleton,1999-04-19,50148,89,10,Senior,Marketing Specialist
Joseph,Mosley,1993-03-06,71726,65,6,Mid,Project Manager
Kara,Huber,1983-01-20,93042,88,12,Mid,Sales Executive
John,Diaz,1967-12-03,96796,60,4,Junior,Project Manager
Steven,Benton,1981-08-09,64345,76,16,Junior,Sales Executive
William,Livingston,1971-12-23,71747,75,20,Mid,HR Manager
Javier,Williams,1982-08-09,52126,95,1,Junior,Marketing Specialist
Jennifer,Simpson,1983-05-24,70753,65,18,Senior,Sales Executive
Kathryn,Lara,1977-12-06,87924,79,14,Junior,Project Manager
Samantha,Gibson,1994-05-19,67723,95,14,Senior,Data Analyst
Keith,Ferguson,1978-05-01,79710,83,7,Junior,Marketing Specialist
Kenneth,Rubio,1980-06-02,65331,70,10,Mid,Data Analyst
Joshua,Bass,1989-12-15,50070,74,11,Mid,Project Manager
Latoya,Cuevas,1974-03-30,72806,88,3,Junior,Project Manager
Samuel,Harper,1965-03-16,75027,84,3,Mid,Marketing Specialist
Roger,Stevens,1976-09-11,79762,81,8,Junior,Project Manager
Michelle,Carrillo,1975-07-06,62472,90,17,Senior,HR Manager
Michael,Andrews,1979-11-17,83494,92,8,Senior,Software Engineer
Rachel,Montgomery,1995-06-09,76370,72,5,Senior,Marketing Specialist
Jonathon,King,1993-05-07,74985,90,10,Junior,Data Analyst
Anna,Johns,1968-01-09,82266,100,8,Senior,HR Manager
James,Chavez,1966-01-30,93539,100,13,Senior,Project Manager
Alicia,Maxwell,1999-06-10,64900,69,14,Mid,Marketing Specialist
Cassandra,Mcgee,1985-08-25,62521,71,8,Senior,Data Analyst
Michael,Sanford,1998-05-25,60651,68,4,Mid,Sales Executive
Tammy,Craig,1975-06-10,89088,64,10,Mid,Data Analyst
Micheal,Jackson,1970-10-06,97072,92,15,Mid,HR Manager
Diana,Hunter,1983-12-16,93242,64,7,Junior,Sales Executive
Amanda,King,1965-05-12,50958,92,11,Mid,Sales Executive
Kathleen,Chambers,1978-06-30,75830,87,11,Junior,Project Manager
Stacey,Smith,1987-01-05,88641,100,14,Junior,Sales Executive
Karl,Smith,1984-06-04,60132,76,13,Mid,Sales Executive
Charles,Kane,1969-06-06,55765,64,5,Senior,HR Manager
Kristin,Murray,1990-10-29,95176,75,2,Senior,Marketing Specialist
Richard,Moreno,1984-07-11,61731,88,18,Senior,Sales Executive
Daniel,Mays,1981-10-12,52091,60,1,Senior,Sales Executive
Dale,Case,1995-01-19,69023,62,13,Senior,Marketing Specialist
Jennifer,Patel,1974-12-18,79862,77,19,Junior,HR Manager
Anita,Eaton,1984-09-11,56566,78,6,Mid,Data Analyst
Jill,Reese,1993-01-13,72075,68,20,Senior,HR Manager
Michael,Singleton,1966-02-08,91871,72,20,Junior,Data Analyst
Dale,Bryant,1981-02-17,89782,74,3,Senior,HR Manager
Madison,Bonilla,1987-01-23,52177,90,16,Junior,Data Analyst
Edwin,Jackson,1967-05-28,55008,76,20,Mid,Data Analyst
Stacy,Stevens,1981-09-18,94780,86,4,Junior,Data Analyst
Rose,Reyes,1976-09-28,98612,67,6,Mid,Sales Executive
Don,Harris,1987-10-08,71571,95,19,Senior,HR Manager
Michele,Henderson,1981-01-21,64005,75,13,Junior,Project Manager
Shirley,Hall,1998-06-27,91831,94,16,Senior,Software Engineer
Michelle,Jones,1992-08-13,99936,87,18,Senior,Software Engineer
Sandra,Perry,1964-03-08,56798,100,20,Junior,Sales Executive
Christina,Perkins,1971-04-03,95613,75,17,Senior,Data Analyst
Frank,Tran,1988-09-20,95761,90,3,Senior,Software Engineer
James,Reese,1968-01-05,62080,79,5,Senior,Project Manager
Alex,Cox,1974-04-22,88042,95,18,Mid,Data Analyst
Michael,Lucas,1996-05-12,90007,63,17,Junior,Data Analyst
Olivia,Rodriguez,1976-06-13,90338,95,20,Junior,Software Engineer
Michael,Lee,1972-01-05,76367,67,20,Senior,Sales Executive
Ellen,Garcia,1985-08-10,57469,90,3,Mid,Data Analyst
Amy,Hill,1984-05-12,88010,97,20,Senior,Project Manager
Anne,Ayala,1974-11-20,94967,82,5,Mid,Data Analyst
Kimberly,Thomas,1978-10-14,82654,73,7,Junior,Data Analyst
Jill,Golden,1995-02-07,97880,87,2,Senior,Sales Executive
Cameron,Perez,1975-03-02,72578,91,1,Senior,Data Analyst
Michael,Kaufman,1979-02-12,67930,94,13,Senior,Project Manager
Benjamin,Griffith,1971-07-14,69075,98,5,Senior,Data Analyst
Scott,Mcdaniel,1997-06-21,87434,79,11,Senior,Software Engineer
Cindy,Miller,1971-12-26,60953,69,9,Junior,HR Manager
Allen,Escobar,1993-03-30,85516,83,19,Senior,Sales Executive
Juan,Jones,1978-11-09,61738,95,5,Junior,Software Engineer
Heather,Brown,1964-06-21,50776,62,9,Mid,Marketing Specialist
Briana,Bean,1999-03-22,54996,95,1,Mid,Sales Executive
Julie,Hensley,1980-11-05,61376,80,8,Senior,Sales Executive
Amanda,Jackson,1976-06-25,93348,84,11,Junior,Project Manager
Daniel,Aguirre,1978-11-13,52354,65,10,Junior,HR Manager
Kathy,Boyd,1980-06-06,96928,94,10,Senior,Software Engineer
Gabriel,Martinez,1974-12-24,97177,99,9,Mid,Sales Executive
Anne,Hernandez,1989-04-11,53307,97,16,Senior,Software Engineer
Katrina,Johnson,1980-03-31,68857,69,12,Mid,Marketing Specialist
Angela,Moss,1983-03-08,72168,79,18,Mid,Project Manager
Kyle,Myers,1968-07-10,89475,75,9,Mid,Sales Executive
Joseph,Armstrong,1982-12-01,76058,82,12,Mid,HR Manager
Cindy,Holland,1967-01-20,66443,99,5,Senior,Software Engineer
Juan,Hines,1976-10-31,77063,64,3,Junior,Software Engineer
Michelle,Malone,1974-05-11,84666,71,1,Senior,Project Manager
Natalie,Carter,1964-06-04,91643,87,7,Mid,Marketing Specialist
Lisa,Collier,1967-09-10,95203,85,2,Mid,Software Engineer
Billy,Oliver,1972-11-11,94045,65,18,Senior,Software Engineer
Mary,Riley,1969-06-27,64357,99,4,Senior,Data Analyst
Thomas,Mccullough,1975-10-26,70941,67,20,Mid,Data Analyst
Dwayne,Hahn,1993-03-04,90970,65,12,Senior,Marketing Specialist
Victoria,Garcia,1993-10-14,95091,96,13,Junior,Marketing Specialist
Benjamin,Richardson,1983-11-22,93974,70,13,Senior,Software Engineer
Destiny,Turner,1976-11-22,74450,99,2,Mid,Sales Executive
Nicholas,Christensen,1986-06-15,70855,66,3,Mid,Sales Executive
Daniel,Williams,1986-01-28,75161,85,16,Junior,HR Manager
David,Joseph,1974-02-24,79888,78,4,Junior,Data Analyst
Heather,Miller,1987-07-24,75494,63,13,Junior,HR Manager
Steven,Anderson,1975-07-15,61051,97,12,Junior,Software Engineer
Debra,Jackson,1988-03-06,53637,72,18,Senior,Data Analyst
Timothy,May,1989-09-04,99764,100,9,Junior,Marketing Specialist
Kayla,Henderson,1975-01-01,94433,83,3,Mid,Data Analyst
Cynthia,Martinez,1973-06-08,88457,68,1,Mid,Marketing Specialist
Tara,Lewis,1984-08-04,59232,82,6,Junior,Sales Executive
Marissa,Livingston,1995-12-19,54466,74,5,Junior,Project Manager
Carol,Hansen,1983-07-16,91854,88,9,Mid,Sales Executive
Gary,Williams,1971-02-01,50367,82,11,Senior,Software Engineer
Ethan,Murphy,1986-08-17,84824,64,17,Junior,Project Manager
Antonio,Carter,1994-10-30,52604,100,19,Junior,Sales Executive
Raymond,Rogers,1993-11-05,70827,98,2,Mid,Software Engineer
Christopher,Garza,1978-05-13,62808,95,20,Mid,Marketing Specialist
Shelby,Baker,1995-11-26,95845,60,16,Senior,Software Engineer
Kelly,Schaefer,1972-11-14,91647,92,2,Senior,HR Manager
Hannah,Turner,1975-07-11,53707,62,7,Mid,Software Engineer
Jonathan,Barry,1990-05-26,62866,91,9,Junior,Project Manager
Christian,Mcguire,1978-05-31,50094,69,6,Mid,Project Manager
Peter,Steele,1970-03-14,96913,62,2,Junior,HR Manager
Christopher,Velazquez,1990-11-01,51338,83,6,Senior,Marketing Specialist
Alexis,Mclaughlin,1996-08-13,76480,66,14,Mid,Project Manager
Jennifer,Wheeler,1975-09-30,99056,68,5,Mid,Project Manager
Jennifer,Robinson,1971-07-04,67980,71,11,Mid,Marketing Specialist
Billy,Castillo,1982-08-04,79332,88,13,Mid,Data Analyst
Linda,Robinson,1974-03-17,70410,91,3,Junior,Sales Executive
Alexis,Grant,1968-02-13,82638,97,13,Junior,Data Analyst
Kathleen,Hall,1989-05-19,65350,95,11,Mid,Software Engineer
Bruce,Weaver,1974-11-01,74185,70,13,Junior,HR Manager
Bruce,Walsh,1966-03-24,58849,91,8,Senior,Project Manager
Pamela,Wilson,1981-11-16,59932,98,16,Mid,Data Analyst
Briana,Simpson,1985-11-10,66405,77,7,Junior,Project Manager
Ryan,Whitney,1993-11-12,98085,64,2,Senior,Project Manager
Richard,Hill,1974-04-18,96545,99,8,Mid,Software Engineer
Jared,Rodriguez,1982-07-09,88981,71,2,Mid,Sales Executive
Natalie,Strickland,1982-01-31,88401,84,3,Senior,Software Engineer
Edward,Goodwin,1992-07-17,80817,79,11,Junior,Data Analyst
Lori,Turner,1996-05-11,61364,86,3,Junior,Data Analyst
David,Yoder,1989-04-06,70273,67,17,Senior,Software Engineer
Thomas,Kirk,1989-12-25,93176,97,15,Senior,Marketing Specialist
Julia,Mitchell,1976-11-11,66102,66,11,Senior,Sales Executive
Brandon,Kelley,1987-03-10,73399,74,13,Junior,Data Analyst
Javier,Cook,1968-03-02,72468,63,11,Junior,HR Manager
Tammy,Hamilton,1987-05-13,66914,63,7,Mid,Software Engineer
Judy,Raymond,1964-12-01,64420,94,17,Mid,Software Engineer
Michael,White,1968-05-30,74303,88,16,Senior,Data Analyst
Raymond,Quinn,1971-03-20,77196,83,15,Mid,Sales Executive
Joseph,Hill,1976-01-09,57143,62,17,Mid,Software Engineer
Kyle,Webb,1983-08-08,58921,64,7,Senior,Marketing Specialist
Shawn,Becker,1978-07-20,55573,62,6,Senior,Project Manager
Jennifer,Ball,1973-07-16,97994,85,10,Mid,HR Manager
Patrick,Williamson,1992-12-12,57501,73,18,Senior,Software Engineer
Mark,Wallace,1987-02-15,64148,87,16,Senior,Project Manager
Ashley,Palmer,1982-11-18,51694,61,16,Mid,Project Manager
Jeffery,Rios,1986-09-17,66851,100,14,Senior,Sales Executive
Laura,Chung,1989-12-31,72923,67,9,Junior,HR Manager
Anna,Boone,1970-03-22,76315,96,17,Senior,HR Manager
Alec,Cruz,1973-03-11,98324,95,5,Senior,Data Analyst
Jonathan,Cummings,1987-08-30,93299,78,12,Mid,HR Manager
Joshua,Roberts,1985-11-20,56539,96,16,Senior,HR Manager
Joel,Stewart,1981-06-07,73892,82,5,Senior,Data Analyst
Danny,Chaney,1987-11-15,80050,96,15,Junior,Data Analyst
Stephen,Wood,1964-11-11,65069,66,14,Mid,HR Manager
Bryan,Hawkins,1975-05-12,83762,88,20,Junior,Marketing Specialist
Aaron,Meyer,1971-11-12,59238,88,3,Junior,Marketing Specialist
Christopher,Nolan,1973-07-11,96541,69,8,Mid,HR Manager
Rachael,Garrett,1986-04-09,72839,76,20,Junior,Data Analyst
Rebecca,Nelson,1970-05-06,62325,82,1,Mid,HR Manager
Kristy,Horn,1987-10-29,70904,60,5,Junior,Software Engineer
Michelle,Logan,1985-12-13,62335,64,4,Senior,Software Engineer
Tony,Walker,1979-02-25,83881,66,14,Junior,Software Engineer
Evan,Soto,1983-11-13,71689,78,11,Senior,Software Engineer
Gregory,Edwards,1985-06-16,85493,84,4,Mid,Marketing Specialist
Karen,Torres,1989-07-08,58537,74,6,Senior,Project Manager
Diane,Edwards,1996-07-16,90300,73,12,Junior,Data Analyst
Briana,Hill,1964-12-26,79114,96,11,Junior,Sales Executive
David,Hardy,1994-07-07,96483,85,1,Senior,Data Analyst
Daniel,Keller,1969-11-20,61250,72,12,Junior,Sales Executive
Christian,Taylor,1977-08-23,83168,93,11,Junior,Project Manager
Erika,Ayala,1990-06-27,59511,93,1,Mid,Software Engineer
Margaret,Guzman,1984-04-18,75457,68,16,Senior,HR Manager
Lisa,Fry,1978-06-27,80969,84,14,Mid,Marketing Specialist
Ashley,Sharp,1967-03-15,64073,82,19,Senior,Data Analyst
Amanda,Sosa,1988-12-10,91629,84,14,Junior,Project Manager
Mark,Orr,1982-06-23,88216,82,2,Senior,Data Analyst
Emily,Hester,1990-10-30,71929,98,7,Senior,Data Analyst
William,Davis,1975-05-14,83286,70,18,Senior,HR Manager
Rachel,Thomas,1967-10-19,74608,86,8,Junior,Project Manager
Derrick,Marshall,1996-04-09,54828,73,15,Junior,Data Analyst
Jennifer,Morris,1967-09-20,73468,89,19,Senior,Data Analyst
Karen,Whitney,1974-09-22,95509,88,2,Junior,HR Manager
Raymond,Edwards,1999-08-07,73954,91,13,Mid,Project Manager
Oscar,Clark,1975-06-22,85238,70,20,Junior,Sales Executive
Mark,Evans,1998-01-14,86538,63,5,Mid,HR Manager
Joel,Todd,1988-12-13,97483,63,11,Senior,Project Manager
Stephen,Chavez,1971-03-25,58614,90,19,Junior,Software Engineer
Dakota,Middleton,1990-09-12,85376,66,14,Junior,Sales Executive
Sara,Villegas,1983-09-13,88210,66,8,Senior,Sales Executive
John,Richard,1978-01-27,96457,99,15,Junior,Project Manager
Allen,Frank,1968-10-11,97027,83,17,Senior,Sales Executive
Nathan,Baker,1988-02-03,58426,79,11,Mid,Data Analyst
Jeffrey,Diaz,1996-08-16,82736,83,6,Junior,Sales Executive
Thomas,Payne,1964-04-01,63239,68,19,Mid,Marketing Specialist
Ryan,Gill,1974-06-27,75818,63,4,Senior,HR Manager
Crystal,Gonzalez,1969-02-02,70260,93,17,Senior,Software Engineer
Michael,White,1975-11-09,56441,61,17,Senior,Sales Executive
Sean,Stevens,1979-12-06,84426,82,11,Junior,Software Engineer
Brian,Wheeler,1988-12-05,71031,100,19,Mid,Sales Executive
Kevin,Stevenson,1974-02-16,53691,93,5,Junior,Project Manager
Jeanette,Garcia,1996-09-13,98269,82,3,Mid,Data Analyst
Charles,Brown,1978-06-08,92967,90,1,Senior,Data Analyst
Melinda,King,1977-06-14,82456,99,20,Mid,Project Manager
Emily,Sparks,1984-09-05,73914,85,11,Mid,Marketing Specialist
Ronnie,Adams,1981-06-24,71489,70,3,Junior,Marketing Specialist
Catherine,Gordon,1986-10-05,68341,82,2,Mid,Software Engineer
Dennis,Smith,1967-01-24,58365,81,2,Senior,Marketing Specialist
Paul,Thomas,1970-11-12,78521,84,12,Senior,Marketing Specialist
Michael,Miller,1966-11-30,74519,67,6,Junior,HR Manager
Jacqueline,Edwards,1978-08-26,65948,95,9,Junior,HR Manager
Katherine,Moore,1977-02-16,91781,71,4,Senior,HR Manager
Jared,Martin,1992-07-29,62683,63,15,Mid,HR Manager
Angela,Cannon,1979-12-20,77276,65,14,Mid,Software Engineer
Jon,Savage,1993-04-13,65676,96,18,Mid,Project Manager
Elizabeth,Casey,1985-11-26,51335,97,4,Junior,Data Analyst
Gerald,Collins,1996-04-29,94748,62,7,Senior,Project Manager
Jennifer,Roberts,1979-05-01,52210,74,18,Junior,Sales Executive
David,Austin,1996-09-10,67237,89,11,Junior,Sales Executive
Luis,Hutchinson,1974-08-23,87879,78,7,Junior,Marketing Specialist
Natasha,Bowman,1976-06-06,60157,62,13,Senior,Software Engineer
Amy,Casey,1983-06-21,73709,67,18,Senior,HR Manager
Peter,Powers,1990-09-21,81588,69,19,Senior,HR Manager
Andrew,Smith,1997-11-14,98680,70,14,Senior,Project Manager
Tammy,Mcgee,1988-04-19,77991,74,14,Mid,Data Analyst
Joseph,Rodriguez,1972-05-27,75204,62,19,Mid,Data Analyst
Andrea,Moreno,1967-12-06,89692,82,9,Mid,Software Engineer
Meghan,Bell,1991-05-16,64988,74,14,Mid,Data Analyst
Shirley,Olson,1964-07-12,74885,80,14,Junior,Sales Executive
Donna,Webb,1989-05-28,99266,66,6,Junior,Data Analyst
Kristina,Jones,1966-10-01,61892,100,12,Senior,Project Manager
Lisa,Rivas,1984-03-22,78818,98,19,Junior,Sales Executive
Anthony,Frye,1966-05-07,54436,70,18,Junior,Sales Executive
Andrea,Sanders,1983-02-02,63485,65,12,Junior,HR Manager
Anthony,Cox,1986-05-12,74754,87,16,Mid,Project Manager
Nathan,Watkins,1976-12-15,79368,66,4,Junior,Software Engineer
Lawrence,Clark,1991-10-21,70217,61,5,Mid,Software Engineer
Fernando,Smith,1980-05-15,99040,64,11,Senior,Marketing Specialist
Shannon,Pollard,1967-06-30,59265,86,7,Junior,Marketing Specialist
Rachel,Harrison,1989-01-05,91755,61,7,Junior,Software Engineer
Robert,Patrick,1994-06-21,61741,78,13,Mid,Software Engineer
Michael,Ellis,1996-07-30,74039,92,19,Senior,Data Analyst
Michael,Green,1980-07-22,68174,93,7,Junior,HR Manager
Angela,Arnold,1969-03-07,56266,91,18,Senior,HR Manager
Francis,Palmer,1994-09-13,77021,92,14,Junior,Data Analyst
Jacob,Perez,1988-04-28,89728,88,7,Senior,Sales Executive
Jake,Clark,1979-09-27,91773,82,15,Junior,Software Engineer
Steven,Miller,1991-06-04,73320,69,17,Junior,Data Analyst
Devin,Davis,1964-07-31,69530,85,12,Junior,Project Manager
Janet,Barber,1981-10-17,71445,96,14,Senior,Sales Executive
Linda,Stewart,1996-09-21,50556,72,8,Mid,Marketing Specialist
Johnny,Luna,1986-04-20,62577,86,15,Mid,Marketing Specialist
Mark,Gardner,1994-05-03,57064,64,1,Mid,Software Engineer
Alexis,Lewis,1983-08-21,76490,73,18,Junior,Sales Executive
Daniel,Valdez,1991-03-28,70415,91,20,Junior,Project Manager
Mark,Morton,1991-12-15,85717,82,6,Junior,Sales Executive
Daniel,Price,1988-11-07,72657,88,2,Senior,HR Manager
Dana,Wilson,1998-03-08,73931,86,15,Senior,Sales Executive
Connor,Stewart,1973-01-18,58999,78,13,Junior,Sales Executive
Jessica,Parker,1965-04-01,83497,76,10,Junior,Software Engineer
Michelle,Cook,1976-02-19,92297,95,7,Mid,Software Engineer
Ricardo,Jones,1983-01-11,64877,87,17,Junior,Software Engineer
Valerie,Sanders,1993-02-23,50666,66,20,Senior,HR Manager
Andrea,Oliver,1985-07-01,74308,100,8,Senior,Data Analyst
Caroline,Taylor,1991-02-08,80809,89,9,Senior,Project Manager
Stuart,Lyons,1977-06-27,67367,63,6,Senior,Software Engineer
Ashley,Sullivan,1985-08-29,82343,64,14,Junior,Project Manager
Michael,Gonzalez,1974-04-04,71387,69,16,Junior,Software Engineer
Nancy,Olson,1975-12-04,73072,85,5,Mid,Sales Executive
Stephanie,Gonzalez,1990-04-30,84197,87,7,Senior,Marketing Specialist
Cynthia,Scott,1995-10-16,83938,60,4,Senior,Data Analyst
Michael,Villanueva,1974-07-19,88707,65,19,Junior,Software Engineer
Thomas,Fritz,1981-12-28,90473,78,20,Junior,HR Manager
Gary,Henson,1964-02-02,67210,76,5,Junior,Software Engineer
Stephanie,Zimmerman,1996-01-17,61585,75,6,Mid,Data Analyst
Ruben,King,1967-07-14,82315,100,14,Junior,HR Manager
Christina,Williams,1965-02-06,58204,95,14,Senior,Sales Executive
Michael,Pearson,1994-02-13,55630,69,8,Senior,Software Engineer
Deborah,Miller,1969-03-03,97412,74,5,Senior,Sales Executive
Kimberly,Gonzales,1976-01-12,51553,77,8,Junior,Marketing Specialist
James,Sloan,1987-04-23,66590,77,1,Mid,Project Manager
Joshua,Cook,1974-03-03,86328,75,19,Senior,Software Engineer
Susan,Jimenez,1995-02-14,62452,91,10,Junior,Sales Executive
Wesley,Donovan,1994-12-11,89597,77,15,Junior,HR Manager
Elizabeth,Harris,1998-02-23,87046,81,12,Mid,HR Manager
Sherri,May,1980-12-26,61180,84,4,Junior,Marketing Specialist
Benjamin,Reyes,1988-06-16,70078,80,18,Junior,Data Analyst
Mary,Lopez,1979-04-01,58813,84,2,Junior,Marketing Specialist
Donna,Smith,1965-01-21,50716,90,7,Junior,HR Manager
Janice,Medina,1972-01-22,50149,68,4,Senior,Sales Executive
Diane,Sampson,1982-03-29,98870,98,5,Mid,Marketing Specialist
